date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2008-08-01T07:00:00Z,,Computer Bought on eBay for £35 Contains 1 Million RBS Group Bank Customer Records,"The data include names, addresses, mobile phone numbers, bank account numbers, credit card numbers, mothers' maiden names, and even signatures.",,,,,,1000000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/computer_bought_on_ebay_contai,,,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - customers affected,Impact - Currency"
2010-01-01T07:00:00Z,,30 Million German Bank Cards' Date Problem Almost Fixed,The security chips didn't recognize date 2010.,,,,,,30000000,,,,Germany,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/30-million-german-bank-cards-almost-fixed,,,,bank,"Germany,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - customers affected"
2010-11-01T07:00:00Z,,Millions Affected by National Australia Bank Computer Problems,All personal and business accounts were frozen for several days. Transactions with other major Australian banks were hit as well.,,,2,weeks,336,11000000,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/millions-of-national-australia-bank-customers-likely-affected-by-computer-glitch; http://www.availabilitydigest.com/public_articles/0703/australian_bank_outages.pdf,was caused by a corrupted file during the routine processing of overnight transactions on Wednesday,,,bank,"Australia,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2011-01-01T07:00:00Z,,"200,000 Credit and Debit Card Holders Doubled Billed by Lloyds Cardnet System",Charges happened New Year's Eve 2010.,,,,,,200000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/200000-credit-and-debit-card-holders-doublebilled-by-lloyds-tsb-cardnet-system,,,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - customers affected"
2011-02-01T07:00:00Z,115960275,Allied Irish Banks Sues for €84 Million over Botched Retail Banking System,Oracle faces a lawsuit.,,,,,,,84000000,€,EUR,Ireland,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/allied-irish-banks-wants-84-million-from-two-oracle-companies-for-botched-retail-banking-system,,,Oracle,bank,"Ireland,Operational Failure,Commercial,,,Banking and Financial,€,bank,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-04-01T07:00:00Z,,911 Outages Hit Mulitple States,A single coding error was responsible for outages throughout the US.,,,7,hours,7,6000,,,,US,The Americas,Operational Failure,Government,State/Local,Law Enforcement,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/911-outages-hit-washington-state-parts-of-oregon; https://www.washingtonpost.com/blogs/the-switch/wp/2014/10/20/how-a-dumb-software-glitch-kept-6600-calls-from-getting-to-911/,"In Oregon, the outage was caused by an issue arising during a scheduled maintenance window, Oregon Public Broadcasting reported. OPB quoted CenturyLink spokesperson Martin Flynn as saying that “a computer card was removed from CenturyLink’s master controller, the unit stopped responding and needed to be reset.”

In Washington State, the AP reported that CenturyLink blamed the outage on an unspecified “technical error by a third-party vendor” that was “not related to CenturyLink's network.” A story in the Tacoma News Tribune reported that state emergency officials told the paper that the “outage apparently stemmed from a malfunction in the telephone networks that people use to make everyday calls, not the separate system that sends calls to emergency dispatchers.” . The outage was subsequently blamed on a 911 system upgrade by AT&T. A story at The Province states that the ICBC blamed the mistake on its on-going migration that began in 2006 from a 40-year old legacy computer system to a new CAD$400 million system which is scheduled to be completed in 2015. Sebelius also tried to deflect the blame for not knowing how bad the situation really was on her inability to ask the right questions, as well as incorrect information coming from her ACA technical advisors",,,telecom,"US,Operational Failure,Government,State/Local,Law Enforcement,Telecom,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-04-01T07:00:00Z,,National Australia Bank Suffers Another Computer Problem,millions of Australians were affected again.,,,1,days,24,,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/national-australia-bank-it-problems-affects-millions-again,,,,bank,"Australia,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-04-01T07:00:00Z,,Korea's NH Bank Computers Crash,30 million account holders were affected for days.,,,10,days,240,30000000,,,,Korea,Asia Pacific and Japan,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/south-korean-banks-weeklong-system-failure-affecting-30-million-an-inside-job,,,"NH Bank, IBM",bank,"Korea,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2011-07-01T00:00:00Z,,Corrupt File at Australia's Westpac Bank Causes Problems for Australian Banks,Thusands of banking customers across Australia were affected for two days.,,,2,days,48,,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/corrupt-file-causes-at-westpac-causes-problems-at-australian-banks,"Westpac's situation is reminiscent of the overnight processing problem suffered by CBA last December, and the massive outage also caused by a corrupted file that disrupted NAB's overnight processing last November.

Last September, a server patch degraded Westpac's online banking for a good part of a day as well.",,,bank,"Australia,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-03-01T07:00:00Z,30477460,Victoria Police AU $59 Million Link Crime Database Project Canceled After Costs Soar to at Least AU $187 Million,The AU $100 million estimate shortfall was discovered in January 2011.,,,,,,,30000000,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,State/Local,Law Enforcement,,http://www.theage.com.au/victoria/police-database-would-have-cut-crime-20110420-1doxp.html; http://www.afrsmartinvestor.com.au/p/technology/report_slams_victoria_police_it_8BObbrmARC8WboYENldDLP,,,,project termination/cancellation,"Australia,Project Failure,Government,State/Local,Law Enforcement,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-10-01T07:00:00Z,466000000,VA's $1.9 Billion Health Information Systems and Technology Architecture-Foundations Modernization Project Terminated,At least $466 million spent on the project with little return,,,,,,,466000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.gao.gov/assets/660/656210.txt; http://www.gao.gov/assets/660/656191.pdf; http://www.va.gov/EXHIBIT300/docs/38VISFM.pdf,,,,"project termination/cancellation, health","US,Project Failure,Government,National,Defense and Veterans Affairs,,$,project termination/cancellation, health,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-06-01T07:00:00Z,,"Software Update Crashes UK RBS Bank Group IT Systems, Millions of Customers Without Access to Accounts",System outage also hits banks and their customers across UK.,,,,,,16000000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/natwest-banks-nightmare-starting-to-end-; http://www.bbc.com/news/business-21694704,The software problem erupted last Tuesday night when millions of bank accounts across all three banks failed to be updated,,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,,bank,,,Impact - Raw,Impact - customers affected"
2013-07-01T07:00:00Z,18000,Bank Blames GPS Error for Repossessing Wrong House,"Bank apologizes and offers small compensation for the error. Owner claims $18,000 in lost furnishings.",,,,,,,18000,$,USD,US,The Americas,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-ohio-bank-blames-gps-for-wrong-house-repossession,"We start off this week’s edition with a bank which blamed a house repossession error on bad GPS coordinates.

Bank Repo Crew Repossesses Wrong House

Katie Barnett of McArthur, Ohio, returned to her house after a two week vacation to find that the locks on her doors had been changed. It is unclear how many device malfunctions are the direct result of software problems, or if equipment issues also involve operator error—which has been a concern recently with robotic surgery.. The WRAL story says the problem was caused by Vantiv’s billing system dropping a decimal point which turned a US $29.90 monthly membership charge into a $2990 one instead.",,,bank,"US,Operational Failure,Commercial,,,Banking and Financial,$,bank,,,Impact - Raw,Impact - Qty,Impact - Currency"
2012-06-01T07:00:00Z,1872159152,UK RBS Bank Group Fined by Financial Conduct Authority £56 Million over 2012 IT Outages,"RBS already paid out £175 million in compensation and other costs, and is investing £1 billion to improve internal IT.",,,1,weeks,168,17000000,1.22E9,£,GBP,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/royal-bank-of-scotland-group-facing-huge-fine-over-2012-massive-it-system-meltdown,"Last week, Sky News reported that the UK’s Financial Conduct Authority (FCA) informed RBS that it was facing record breaking fines in the “tens of millions of pounds” for the malfunction, which was blamed on a faulty software upgrade",,,bank,"UK,Operational Failure,Commercial,,,Banking and Financial,£,bank,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Impact - Currency"
2008-03-01T07:00:00Z,,"Dutch Tax Office Accidentally Erases 730,000 Digitally-submitted Tax Returns",Taxpayers must resubmit their returns.,,,,,,730000,,,,Netherlands,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/dutch_tax_office_loses_730000,,,,taxes,"Netherlands,Operational Failure,Government,National,Finance and Treasury,,,,,,Impact - Raw,Impact - customers affected"
2008-12-01T07:00:00Z,,Veterans Affairs Failure to Update Software Shortchanges War Widows for 12 years,"400,000 widows are owed money.",,,12,years,104832,400000,,,,US,The Americas,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/us_department_of_veteran_affai,,,,social welfare,"US,Operational Failure,Government,National,Defense and Veterans Affairs,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2009-12-01T07:00:00Z,,California Unemployment System Programming Issues Delay Checks,"117,000 unemployment checks were not sent out.",,,,,,117000,,,,US,The Americas,Operational Failure,Government,State/Local,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/117000-california-unemployment-checks-in-limbo-because-of-states-it-systems-problems,,,,social welfare,"US,Operational Failure,Government,State/Local,Labor,,,,,,Impact - Raw,Impact - customers affected"
2010-06-01T07:00:00Z,,"UK HMRC Agency Computer System Errors Hit 100,000 Taxpayers",The tax agency claimed the system was working as it should.,,,,,,100000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/uk-revenue-and-customs-computer-errors-whack-100000-taxpayers,,,,taxes,"UK,Operational Failure,Government,National,Finance and Treasury,,,,,,Impact - Raw,Impact - customers affected"
2010-09-01T07:00:00Z,,UK Government Tries to Quell Firestorm over Incorrectly Computed Taxes for 13.5 Million Taxpayers,HMRC computer system modernization to blame.,,,,,,13500000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/uk-government-moves-to-reduce-paye-system-political-fallout,"However, showing a political tin ear, the HM Revenue & Customs chief executive Dame Lesley Strathie once more insisted, reports this London Daily Mail story, that HMRC staff had made ""no mistakes."" She in effect said it was a taxpayer's own fault if they owed back taxes or were to get a refund, and not the fault of the HMRC or its computer systems.

Dame Strathie also said the HMRC's performance was such because it couldn't pick and choose which customers to serve - it had to deal with everyone - whether her government department liked it or not.",,,taxes,"UK,Operational Failure,Government,National,Finance and Treasury,,,,,,Impact - Raw,Impact - customers affected"
2013-03-01T07:00:00Z,,"Tax Refunds for Over 600,000 H&R Block Users Delayed Because of eFile Problems",Refunds were delayed up to 8 weeks.,,,8,weeks,1536,600000,,,,US,The Americas,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-hundreds-of-thousands-hit-by-us-tax-filing-glitches,"Due to inadequate validity checking, errors are created and the IBM team in India is woefully undermanned to handle the workload",,,taxes,"US,Operational Failure,Commercial,,,Banking and Financial,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2013-08-01T07:00:00Z,54000000,Massachusetts Department of Revenue Cancels New $114 Million Tax System Development,The state cancels its contract with Deloitte for poor performance after spending $54 million.,,,,,,,54000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://www.crn.com/news/channel-programs/240162344/deloitte-state-contracts-repeatedly-over-time-budget-report.htm,,,Deloitte,"project termination/cancellation, taxes","US,Project Failure,Government,State/Local,Finance and Treasury,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-01-01T07:00:00Z,9.08E7,North Carolina Cancels Tax Computer System Project After Spending $90.8 Million,The state will go in another direction.,,,,,,,9.08E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://www.govtech.com/health/State-Pulls-Plug-on-90-Million-Tax-Computer-System.html; http://www.govtech.com/state/NC-Revenue-Department-CGI-Agreed-not-to-Disparage-Each-Other-Following-Failed-Project.html; http://www.wral.com/revenue-department-pulls-plug-on-computer-system-upgrade/13301442/,,,CGI,"project termination/cancellation, taxes","US,Project Failure,Government,State/Local,Finance and Treasury,,$,project termination/cancellation,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-04-01T07:00:00Z,706756089,UK £2.4 Billion Universal Credit Programme Begins Again,The program completion date is pushed from 2015 to 2017. The £425m spent on the program so far is likely to be written off.,,,,,,,4.25E8,£,GBP,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Health and Human Services,,http://www.newstatesman.com/politics/2014/04/universal-credit-anatomy-government-failure,"This was due to the way contracts with fixed features were set up with major IT suppliers such as IBM, Accenture, Atos and Hewlett-Packard, and the requirements for a “big bang” launch in October 2013 (a deadline which, of course, it missed).",,,social welfare,"UK,Operational Failure,Government,National,Health and Human Services,,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-09-01T07:00:00Z,29000000,"Indiana's Bureau of Motor Vehicles Overcharged 180,000 Customers over Ten Years",The state promises to refund $29 million (plus interest) in wrongly calculated excise tax fees.,,,10,years,87360,180000,29000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/indianas-bureau-of-motor-vehicles-overcharged-180000-customers-excise-tax-for-10-years,"The BMV claimed the problem began during the initial changeover in 2004 to its then new $32 million System Tracking and Record Support (STARS) computer system.. The BMV blamed “the errors on misapplying complex state laws governing more than 300 fees for various BMV services,” the Indianapolis Star reported.",,,taxes,"US,Operational Failure,Government,State/Local,Transportation,,$,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Impact - Currency"
2014-11-01T07:00:00Z,,"Ontario's New CA $240 Million Social Assistance Management Systems (SAMS) Overpays 17,000 Social Welfare Recipients Some CA $20 Million",Government calls the overpayment a glitch.,,,1,days,24,17000,,,,Canada,The Americas,Operational Failure,Government,State/Local,Health and Human Services,,http://www.thestar.com/news/canada/2014/11/28/computer_glitch_sends_20m_in_overpayments_to_social_assistance_recipients.html,,,,social welfare,"Canada,Operational Failure,Government,State/Local,Health and Human Services,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Currency"
2015-01-01T07:00:00Z,1.78E8,South Carolina and HP Agree Over Failed $151 Million 2013 Child Support Project,"HP agrees to pay South Carolina $44 million, and South Carolina Agrees to Pay HP $5 million, leaving state with $112 million in costs. The state has paid another $66 million in federal fines for not having the system in place.",,,,,,,1.78E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://www.thestate.com/news/politics-government/politics-columns-blogs/the-buzz/article13940351.html; http://www.thestate.com/news/politics-government/article14442176.html; http://www.thestate.com/news/local/article13901876.html,,,HP,social welfare,"US,Project Failure,Government,State/Local,Health and Human Services,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-03-01T07:00:00Z,,Nissan Recalls Nearly 1 Million Cars to Fix Software Flaw,Affected models have an airbag deployment software bug.,989701,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,"A New York Times article says that, “The automaker blamed the sensitivity of the software calibration, particularly when ‘a combination of factors such as high engine vibration at idle when the seat is initially empty and then becomes occupied’ or an ‘unusual’ seating posture are factors.”

Nissan indicates that it was aware of three such accidents, although no fatalities were reported, as a result of the collisions where airbags failed to activate",,Nissan,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - units recalled"
2014-03-01T07:00:00Z,556000000,California's Court Management System Cancelled,The $260 million project to consolidate California's court IT systems was canceled after costs exploded to at least $1.9 billion.,,,,,,,556000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php; https://www.bsa.ca.gov/reports/summary/2010-102,,,,,
2013-07-01T00:00:00Z,137000000,"North Carolina's Medicaid System Delivered, But With Problems","NCTracks project grows from $92.7 million to $230 million, and takes two years before it works properly.",,,,,,,137000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://www.ncauditor.net/epsweb/reports/infosystems/isa-2013-4410.Pdf; http://newsok.com/follow-up-nc-audit-finds-nctracks-problems/article/feed/626286; http://www.ncdhhs.gov/news/press-releases/dhhs-nctracks-earns-certification-federal-government,,,,,
2012-11-01T00:00:00Z,123000000,California's $158 Million  Disability Insurance Upgrade Project Finally Delivered,The project was delivered three years late and $123 million over the total original budget.,,,,,,,123000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf; http://www.ocregister.com/taxdollars/online-495480-system-claims.html,,,,,
2011-05-01T00:00:00Z,43000000,California's Unemployment Call Center Project Delivered Late and Over-budget,The project was delivered 4 years late and $43 million over the total original budget.,,,,,,,43000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf;,,,,,
2013-09-02T00:00:00Z,52000000,California's Unemployment Claims Redesign Project Delivered Late and Over-budget,The project was delivered 5 years late and $48 million over-budget. Problems with rollout cost another $4 million to fix.,,,,,,,52000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf; http://spectrum.ieee.org/riskfactor/computing/it/californias-edd-unemployment-system-disaster-predicted-fiasco; http://articles.latimes.com/2014/feb/07/business/la-fi-mo-brown-edd-unemployment-insurance-20140207; http://www.news10.net/news/article/261097/2/EDD-refuses-to-release-documents-on-broken-computer-system,,,,,
2014-07-01T00:00:00Z,288000000,Social Security Administration Disability Case Processing System Project Runs On and On,"The original project was supposed to cost $381 million and to be delivered by 2013, but after $288 million was spent, nothing was delivered. At least another $170 million will be spent to get system running by 2016.",,,,,,,288000000,$,USD,US,The Americas,Project Failure,Government,National,Health and Human Services,,http://www.foxnews.com/politics/2014/07/23/social-security-spent-300m-on-it-boondoggle/; http://oig.ssa.gov/sites/default/files/audit/full/pdf/A-14-15-15016.pdf; http://oversight.house.gov/wp-content/uploads/2014/07/DCPS-Study.compressed.pdf,,,,,
2014-10-01T00:00:00Z,250000000,Navy ERP Systems Finally Completed,Systems are 3 years late and $250 million over budget.,,,,,,,250000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.rand.org/content/dam/rand/pubs/monographs/2012/RAND_MG1171z2.sum.pdf; http://www.dodig.mil/pubs/documents/DODIG-2013-105.pdf; http://www.navy.mil/submit/display.asp?story_id=84064,,,,,
2013-09-01T07:00:00Z,103000000,New $162 Million LA County Dept. of Water and Power Billing System Was Supposed to Cost $59 Million,The DWP system was originally supposed to cost $59 million.,,,,,,,103000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Utilities,,http://spectrum.ieee.org/riskfactor/computing/it/los-angeles-department-of-water-and-power-scrambles-to-fix-billing-system-mess; http://www.cbsnews.com/news/power-restored-after-amtrak-disruption/,,,,billing,"US,Operational Failure,Government,State/Local,Utilities,,$,,,,Impact - Raw,Impact - customers affected,Impact - Qty,Impact - Currency"
